STT,ITEM,VENDOR,DESCR,STATUS,NH
644,3518674,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),N,DD
645,3518677,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Y,DD
646,3518681,11773,110-CTy CP SX Nhua Duy Tan,N,DD
647,3518682,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
648,3518688,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
653,3519231,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
654,3519232,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
655,3557778,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Y,DD
656,3307987,12989,100-CTY TNHH SAMRAN,Y,DD
658,3352971,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
659,3352974,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
661,3450259,11773,110-CTy CP SX Nhua Duy Tan,N,DD
662,3450271,11773,110-CTy CP SX Nhua Duy Tan,N,DD
664,3362388,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
682,3011821,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
683,3011822,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
684,3012259,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
685,3012260,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
686,3012311,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
688,3246587,12989,100-CTY TNHH SAMRAN,Y,DD
689,3281313,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
690,3281318,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
691,3281320,11773,110-CTy CP SX Nhua Duy Tan,N,DD
692,3281321,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
693,3281511,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
699,3282933,11773,110-CTy CP SX Nhua Duy Tan,N,DD
700,3328714,11773,110-CTy CP SX Nhua Duy Tan,N,DD
701,3509253,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
704,3378042,16964,100-CTy TNHH Tan Hop Thanh,N,DD
714,3217698,11777,100-CT CP Nhua Rang Dong Long An-NR,Y,DD
718,3336962,16964,100-CTy TNHH Tan Hop Thanh,N,DD
719,3336963,16964,100-CTy TNHH Tan Hop Thanh,N,DD
722,3460722,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
723,3460723,11773,110-CTy CP SX Nhua Duy Tan,N,DD
732,3400317,11773,110-CTy CP SX Nhua Duy Tan,N,DD
733,3400318,11773,110-CTy CP SX Nhua Duy Tan,N,DD
734,3400319,11773,110-CTy CP SX Nhua Duy Tan,N,DD
739,3413586,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
742,3422249,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
743,3422251,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
744,3422252,11773,110-CTy CP SX Nhua Duy Tan,N,DD
745,3422259,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
747,3422473,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
748,3422474,11773,110-CTy CP SX Nhua Duy Tan,N,DD
749,3422581,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
750,3422583,11773,110-CTy CP SX Nhua Duy Tan,Y,DD
751,3542948,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
752,3542951,16964,100-CTy TNHH Tan Hop Thanh,Y,DD
