291,3494101,13468,100-CTY TNHH SAMRAN-NR,DANG KINH DOANH,DD
292,3494102,13468,100-CTY TNHH SAMRAN-NR,DANG KINH DOANH,DD
293,3494103,13468,100-CTY TNHH SAMRAN-NR,DANG KINH DOANH,DD
295,3422584,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
296,3392947,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
297,3538906,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KHONG KINH DOANH,DD
298,3538907,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KHONG KINH DOANH,DD
300,3449947,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,DD
301,3555039,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
303,3134265,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
307,3387567,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,DD
308,3387568,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,DD
309,3387569,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,DD
312,3479552,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
315,3434401,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
316,3434402,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
317,3434403,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
318,3434405,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
319,3506580,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),DANG KINH DOANH,DD
326,3515856,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
327,3531392,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),DANG KINH DOANH,DD
328,3419926,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,DD
338,3523140,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KHONG KINH DOANH,DD
339,3523141,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KHONG KINH DOANH,DD
340,3523181,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
341,3523363,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
342,3523364,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
343,3523365,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
344,3430483,11777,100-CT CP Nhua Rang Dong Long An-NR,DANG KINH DOANH,DD
345,3430484,11777,100-CT CP Nhua Rang Dong Long An-NR,DANG KINH DOANH,DD
346,3430485,11777,100-CT CP Nhua Rang Dong Long An-NR,DANG KINH DOANH,DD
356,3440906,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,DD
362,3521071,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
363,3521072,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,DD
