STT,ITEM,VENDOR,DESCR,STATUS
5,3507858,11773,110-CTy CP SX Nhua Duy Tan,
9,3517501,11773,110-CTy CP SX Nhua Duy Tan,
10,3517622,11773,110-CTy CP SX Nhua Duy Tan,
12,3554245,11773,110-CTy CP SX Nhua Duy Tan,
13,3550852,11773,110-CTy CP SX Nhua Duy Tan,
17,3554248,11773,110-CTy CP SX Nhua Duy Tan,
19,3552977,11773,110-CTy CP SX Nhua Duy Tan,
22,3547927,11773,110-CTy CP SX Nhua Duy Tan,
26,3552978,11773,110-CTy CP SX Nhua Duy Tan,
27,3552976,11773,110-CTy CP SX Nhua Duy Tan,
33,3554249,11773,110-CTy CP SX Nhua Duy Tan,
35,3554247,11773,110-CTy CP SX Nhua Duy Tan,
41,3550848,11773,110-CTy CP SX Nhua Duy Tan,
42,3550850,11773,110-CTy CP SX Nhua Duy Tan,
45,3519234,11773,110-CTy CP SX Nhua Duy Tan,
46,3404156,11773,110-CTy CP SX Nhua Duy Tan,
47,3507586,11773,110-CTy CP SX Nhua Duy Tan,
53,3437855,11773,110-CTy CP SX Nhua Duy Tan,
54,3437856,11773,110-CTy CP SX Nhua Duy Tan,
55,3438238,11773,110-CTy CP SX Nhua Duy Tan,
56,3519560,11773,110-CTy CP SX Nhua Duy Tan,
57,3519561,11773,110-CTy CP SX Nhua Duy Tan,
84,3509230,11773,110-CTy CP SX Nhua Duy Tan,
85,3509231,11773,110-CTy CP SX Nhua Duy Tan,
86,3509233,11773,110-CTy CP SX Nhua Duy Tan,
87,3509234,11773,110-CTy CP SX Nhua Duy Tan,
88,3509236,11773,110-CTy CP SX Nhua Duy Tan,
98,3283554,11773,110-CTy CP SX Nhua Duy Tan,
102,3368148,11773,110-CTy CP SX Nhua Duy Tan,
103,3368149,11773,110-CTy CP SX Nhua Duy Tan,
104,3368150,11773,110-CTy CP SX Nhua Duy Tan,
105,3368151,11773,110-CTy CP SX Nhua Duy Tan,
110,3476194,11773,110-CTy CP SX Nhua Duy Tan,
111,3476195,11773,110-CTy CP SX Nhua Duy Tan,
112,3476196,11773,110-CTy CP SX Nhua Duy Tan,
113,3476198,11773,110-CTy CP SX Nhua Duy Tan,
114,3476199,11773,110-CTy CP SX Nhua Duy Tan,
115,3476200,11773,110-CTy CP SX Nhua Duy Tan,
116,3476201,11773,110-CTy CP SX Nhua Duy Tan,
117,3476202,11773,110-CTy CP SX Nhua Duy Tan,
119,3543870,11773,110-CTy CP SX Nhua Duy Tan,
120,3544246,11773,110-CTy CP SX Nhua Duy Tan,
121,3218628,11773,110-CTy CP SX Nhua Duy Tan,
122,3517621,11773,110-CTy CP SX Nhua Duy Tan,
123,3541545,11773,110-CTy CP SX Nhua Duy Tan,
125,3557783,11773,110-CTy CP SX Nhua Duy Tan,
127,3557782,11773,110-CTy CP SX Nhua Duy Tan,
128,3554246,11773,110-CTy CP SX Nhua Duy Tan,
133,3448562,11773,110-CTy CP SX Nhua Duy Tan,
134,3448564,11773,110-CTy CP SX Nhua Duy Tan,
135,3419927,11773,110-CTy CP SX Nhua Duy Tan,
141,3385771,11773,110-CTy CP SX Nhua Duy Tan,
157,3520753,11773,110-CTy CP SX Nhua Duy Tan,
164,3295021,11773,110-CTy CP SX Nhua Duy Tan,
165,3295023,11773,110-CTy CP SX Nhua Duy Tan,
177,3412002,11773,110-CTy CP SX Nhua Duy Tan,
181,3403438,11773,110-CTy CP SX Nhua Duy Tan,
185,3459960,11773,110-CTy CP SX Nhua Duy Tan,
186,3556029,11773,110-CTy CP SX Nhua Duy Tan,
187,3490336,11773,110-CTy CP SX Nhua Duy Tan,
199,3055152,11773,110-CTy CP SX Nhua Duy Tan,
200,3055153,11773,110-CTy CP SX Nhua Duy Tan,
201,3055154,11773,110-CTy CP SX Nhua Duy Tan,
202,3055204,11773,110-CTy CP SX Nhua Duy Tan,
207,3260451,11773,110-CTy CP SX Nhua Duy Tan,
208,3260454,11773,110-CTy CP SX Nhua Duy Tan,
211,3314547,11773,110-CTy CP SX Nhua Duy Tan,
217,3382940,11773,110-CTy CP SX Nhua Duy Tan,
218,3382941,11773,110-CTy CP SX Nhua Duy Tan,
230,3031987,11773,110-CTy CP SX Nhua Duy Tan,
231,3031988,11773,110-CTy CP SX Nhua Duy Tan,
232,3031989,11773,110-CTy CP SX Nhua Duy Tan,
233,3032106,11773,110-CTy CP SX Nhua Duy Tan,
241,3457912,11773,110-CTy CP SX Nhua Duy Tan,
242,3457913,11773,110-CTy CP SX Nhua Duy Tan,
243,3457914,11773,110-CTy CP SX Nhua Duy Tan,
244,3457915,11773,110-CTy CP SX Nhua Duy Tan,
252,3279756,11773,110-CTy CP SX Nhua Duy Tan,
253,3279757,11773,110-CTy CP SX Nhua Duy Tan,
254,3325237,11773,110-CTy CP SX Nhua Duy Tan,
261,3444318,11773,110-CTy CP SX Nhua Duy Tan,
274,3389078,11773,110-CTy CP SX Nhua Duy Tan,
275,3493317,11773,110-CTy CP SX Nhua Duy Tan,
276,3493318,11773,110-CTy CP SX Nhua Duy Tan,
281,3390753,11773,110-CTy CP SX Nhua Duy Tan,
282,3390754,11773,110-CTy CP SX Nhua Duy Tan,
283,3390755,11773,110-CTy CP SX Nhua Duy Tan,
295,3422584,11773,110-CTy CP SX Nhua Duy Tan,
296,3392947,11773,110-CTy CP SX Nhua Duy Tan,
301,3555039,11773,110-CTy CP SX Nhua Duy Tan,
303,3134265,11773,110-CTy CP SX Nhua Duy Tan,
312,3479552,11773,110-CTy CP SX Nhua Duy Tan,
315,3434401,11773,110-CTy CP SX Nhua Duy Tan,
316,3434402,11773,110-CTy CP SX Nhua Duy Tan,
317,3434403,11773,110-CTy CP SX Nhua Duy Tan,
318,3434405,11773,110-CTy CP SX Nhua Duy Tan,
326,3515856,11773,110-CTy CP SX Nhua Duy Tan,
328,3419926,11773,110-CTy CP SX Nhua Duy Tan,
340,3523181,11773,110-CTy CP SX Nhua Duy Tan,
341,3523363,11773,110-CTy CP SX Nhua Duy Tan,
342,3523364,11773,110-CTy CP SX Nhua Duy Tan,
343,3523365,11773,110-CTy CP SX Nhua Duy Tan,
362,3521071,11773,110-CTy CP SX Nhua Duy Tan,
363,3521072,11773,110-CTy CP SX Nhua Duy Tan,
364,3521073,11773,110-CTy CP SX Nhua Duy Tan,
365,3521074,11773,110-CTy CP SX Nhua Duy Tan,
