STT,ITEM,VENDOR,DESCR,STATUS
668,3454993,17638,100-Cty CP TP Va Do Uong Vinatea-NR,DANG KINH DOANH
60,3493826,17639,100-Cty TNHH Eikodo Viet Nam-NR,NGUNG KINH DOANH
669,3454994,17639,100-Cty TNHH Eikodo Viet Nam-NR,DANG KINH DOANH
670,3454995,17639,100-Cty TNHH Eikodo Viet Nam-NR,DANG KINH DOANH
671,3454996,17639,100-Cty TNHH Eikodo Viet Nam-NR,DANG KINH DOANH
672,3454997,17639,100-Cty TNHH Eikodo Viet Nam-NR,DANG KINH DOANH
860,3503267,17639,100-Cty TNHH Eikodo Viet Nam-NR,NGUNG KINH DOANH
542,3455948,17666,100-Cty CP SXTM Tai Tai-NR,DANG KINH DOANH
166,3295195,19028,110-Cty CP Vinamit-NR,DANG KINH DOANH
167,3295196,19028,110-Cty CP Vinamit-NR,DANG KINH DOANH
168,3295197,19028,110-Cty CP Vinamit-NR,DANG KINH DOANH
169,3295198,19028,110-Cty CP Vinamit-NR,DANG KINH DOANH
170,3295199,19028,110-Cty CP Vinamit-NR,DANG KINH DOANH
171,3295200,19028,110-Cty CP Vinamit-NR,DANG KINH DOANH
284,3390935,19028,110-Cty CP Vinamit-NR,NGUNG KINH DOANH
310,3387857,19028,110-Cty CP Vinamit-NR,NGUNG KINH DOANH
180,3505767,19219,130-Cty TNHH Nabati Viet Nam,NGUNG KINH DOANH
239,3284683,19219,130-Cty TNHH Nabati Viet Nam,DANG KINH DOANH
313,3479885,19219,130-Cty TNHH Nabati Viet Nam,NGUNG KINH DOANH
433,3495074,19219,130-Cty TNHH Nabati Viet Nam,NGUNG KINH DOANH
446,3373113,19219,130-Cty TNHH Nabati Viet Nam,DANG KINH DOANH
451,3529243,19219,130-Cty TNHH Nabati Viet Nam,NGUNG KINH DOANH
452,3529244,19219,130-Cty TNHH Nabati Viet Nam,NGUNG KINH DOANH
453,3529245,19219,130-Cty TNHH Nabati Viet Nam,NGUNG KINH DOANH
454,3529246,19219,130-Cty TNHH Nabati Viet Nam,NGUNG KINH DOANH
455,3529247,19219,130-Cty TNHH Nabati Viet Nam,NGUNG KINH DOANH
456,3529248,19219,130-Cty TNHH Nabati Viet Nam,NGUNG KINH DOANH
460,3530491,19219,130-Cty TNHH Nabati Viet Nam,DANG KINH DOANH
601,3360436,19219,130-Cty TNHH Nabati Viet Nam,NGUNG KINH DOANH
634,3384346,19219,130-Cty TNHH Nabati Viet Nam,DANG KINH DOANH
635,3384347,19219,130-Cty TNHH Nabati Viet Nam,DANG KINH DOANH
657,3352387,19219,130-Cty TNHH Nabati Viet Nam,DANG KINH DOANH
808,3538108,19219,130-Cty TNHH Nabati Viet Nam,NGUNG KINH DOANH
853,3408152,19219,130-Cty TNHH Nabati Viet Nam,DANG KINH DOANH
174,3341297,19939,100-Cty TNHH Muoi Thanh Phat-NR,DANG KINH DOANH
175,3341298,19939,100-Cty TNHH Muoi Thanh Phat-NR,DANG KINH DOANH
260,3442900,19939,100-Cty TNHH Muoi Thanh Phat-NR,DANG KINH DOANH
501,3459106,19939,100-Cty TNHH Muoi Thanh Phat-NR,DANG KINH DOANH
773,3341299,19939,100-Cty TNHH Muoi Thanh Phat-NR,DANG KINH DOANH
78,3416680,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,DANG KINH DOANH
79,3416681,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,DANG KINH DOANH
350,3430952,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,DANG KINH DOANH
466,3433445,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,DANG KINH DOANH
553,3175364,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,DANG KINH DOANH
